Project,Namespace,Ca types,Ce types
ModernArchitectureShop.Basket.Application,ModernArchitectureShop.Basket.Application.Persistence,ModernArchitectureShop.Basket.Infrastructure.Persistence.BasketRepository' ModernArchitectureShop.Basket.Infrastructure.UseCases.AddItem.AddItemHandler' ModernArchitectureShop.Basket.Infrastructure.ServiceCollection.ServiceCollectionExtensions' ModernArchitectureShop.Basket.Infrastructure.ServiceCollection.DatabaseExtensions' ModernArchitectureShop.Basket.Infrastructure.UseCases.UpdateItem.UpdateItemHandler' ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItemsPage.GetItemsPageHandler' ModernArchitectureShop.Basket.Infrastructure.UseCases.GetBasketTotalPrice.GetBasketTotalPriceHandler' ModernArchitectureShop.BasketApi.Program' ModernArchitectureShop.Basket.Infrastructure.Persistence.ItemRepository' ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItems.GetItemsHandler' ModernArchitectureShop.Basket.Infrastructure.UseCases.DeleteItem.DeleteItemHandler,ModernArchitectureShop.Basket.Domain.Basket' ModernArchitectureShop.Basket.Domain.Item
ModernArchitectureShop.Basket.Application,ModernArchitectureShop.Basket.Application.UseCases.AddItem,ModernArchitectureShop.Basket.Infrastructure.UseCases.AddItem.AddItemCommand,
ModernArchitectureShop.Basket.Application,ModernArchitectureShop.Basket.Application.UseCases.DeleteItem,ModernArchitectureShop.Basket.Infrastructure.UseCases.DeleteItem.DeleteItemCommand,
ModernArchitectureShop.Basket.Application,ModernArchitectureShop.Basket.Application.UseCases.GetBasketTotalPrice,ModernArchitectureShop.Basket.Infrastructure.UseCases.GetBasketTotalPrice.GetBasketTotalPriceCommand,
ModernArchitectureShop.Basket.Application,ModernArchitectureShop.Basket.Application.UseCases.GetItemsInPage,ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItemsPage.GetItemsPageCommand,
ModernArchitectureShop.Basket.Application,ModernArchitectureShop.Basket.Application.UseCases.GetItems,ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItems.GetItemsCommand,
ModernArchitectureShop.Basket.Application,ModernArchitectureShop.Basket.Application.UseCases.SetStatus,,
ModernArchitectureShop.Basket.Application,ModernArchitectureShop.Basket.Application.UseCases.UpdateItem,ModernArchitectureShop.Basket.Infrastructure.UseCases.UpdateItem.UpdateItemCommand,
