Architecture smell,Project,Namespace,Cause,Responsible Classes,Participating Classes
Feature Concentration,IdentityServer,IdentityServer.Areas.Identity.Pages.Account,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AccessDeniedModel]' [ConfirmEmailModel]' [ConfirmEmailChangeModel]' [ExternalLoginModel' InputModel' ForgotPasswordModel' LoginModel' LoginWith2faModel' LoginWithRecoveryCodeModel' RegisterModel' ResetPasswordModel]' [ForgotPasswordConfirmation]' [LockoutModel]' [LogoutModel]' [RegisterConfirmationModel]' [ResetPasswordConfirmationModel]. LCC (Lack of Component Cohesion) = 0'56,IdentityServer.Areas.Identity.Pages.Account.AccessDeniedModel' IdentityServer.Areas.Identity.Pages.Account.ConfirmEmailModel' IdentityServer.Areas.Identity.Pages.Account.ConfirmEmailChangeModel' IdentityServer.Areas.Identity.Pages.Account.ForgotPasswordConfirmation' IdentityServer.Areas.Identity.Pages.Account.LockoutModel' IdentityServer.Areas.Identity.Pages.Account.LogoutModel' IdentityServer.Areas.Identity.Pages.Account.RegisterConfirmationModel' IdentityServer.Areas.Identity.Pages.Account.ResetPasswordConfirmationModel,IdentityServer.Areas.Identity.Pages.Account.AccessDeniedModel' IdentityServer.Areas.Identity.Pages.Account.ConfirmEmailModel' IdentityServer.Areas.Identity.Pages.Account.ConfirmEmailChangeModel' IdentityServer.Areas.Identity.Pages.Account.ExternalLoginModel' IdentityServer.Areas.Identity.Pages.Account.InputModel' IdentityServer.Areas.Identity.Pages.Account.ForgotPasswordModel' IdentityServer.Areas.Identity.Pages.Account.ForgotPasswordConfirmation' IdentityServer.Areas.Identity.Pages.Account.LockoutModel' IdentityServer.Areas.Identity.Pages.Account.LoginModel' IdentityServer.Areas.Identity.Pages.Account.LoginWith2faModel' IdentityServer.Areas.Identity.Pages.Account.LoginWithRecoveryCodeModel' IdentityServer.Areas.Identity.Pages.Account.LogoutModel' IdentityServer.Areas.Identity.Pages.Account.RegisterModel' IdentityServer.Areas.Identity.Pages.Account.RegisterConfirmationModel' IdentityServer.Areas.Identity.Pages.Account.ResetPasswordModel' IdentityServer.Areas.Identity.Pages.Account.ResetPasswordConfirmationModel
Feature Concentration,IdentityServer,IdentityServer.Areas.Identity.Pages.Account.Manage,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ChangePasswordModel' InputModel' DeletePersonalDataModel' EmailModel' EnableAuthenticatorModel' IndexModel' SetPasswordModel]' [Disable2faModel]' [DownloadPersonalDataModel]' [ExternalLoginsModel]' [GenerateRecoveryCodesModel]' [ManageNavPages]' [PersonalDataModel]' [ResetAuthenticatorModel]' [ShowRecoveryCodesModel]' [TwoFactorAuthenticationModel]. LCC (Lack of Component Cohesion) = 0'62,IdentityServer.Areas.Identity.Pages.Account.Manage.Disable2faModel' IdentityServer.Areas.Identity.Pages.Account.Manage.DownloadPersonalDataModel' IdentityServer.Areas.Identity.Pages.Account.Manage.ExternalLoginsModel' IdentityServer.Areas.Identity.Pages.Account.Manage.GenerateRecoveryCodesModel' IdentityServer.Areas.Identity.Pages.Account.Manage.ManageNavPages' IdentityServer.Areas.Identity.Pages.Account.Manage.PersonalDataModel' IdentityServer.Areas.Identity.Pages.Account.Manage.ResetAuthenticatorModel' IdentityServer.Areas.Identity.Pages.Account.Manage.ShowRecoveryCodesModel' IdentityServer.Areas.Identity.Pages.Account.Manage.TwoFactorAuthenticationModel,IdentityServer.Areas.Identity.Pages.Account.Manage.ChangePasswordModel' IdentityServer.Areas.Identity.Pages.Account.Manage.InputModel' IdentityServer.Areas.Identity.Pages.Account.Manage.DeletePersonalDataModel' IdentityServer.Areas.Identity.Pages.Account.Manage.Disable2faModel' IdentityServer.Areas.Identity.Pages.Account.Manage.DownloadPersonalDataModel' IdentityServer.Areas.Identity.Pages.Account.Manage.EmailModel' IdentityServer.Areas.Identity.Pages.Account.Manage.EnableAuthenticatorModel' IdentityServer.Areas.Identity.Pages.Account.Manage.ExternalLoginsModel' IdentityServer.Areas.Identity.Pages.Account.Manage.GenerateRecoveryCodesModel' IdentityServer.Areas.Identity.Pages.Account.Manage.IndexModel' IdentityServer.Areas.Identity.Pages.Account.Manage.ManageNavPages' IdentityServer.Areas.Identity.Pages.Account.Manage.PersonalDataModel' IdentityServer.Areas.Identity.Pages.Account.Manage.ResetAuthenticatorModel' IdentityServer.Areas.Identity.Pages.Account.Manage.SetPasswordModel' IdentityServer.Areas.Identity.Pages.Account.Manage.ShowRecoveryCodesModel' IdentityServer.Areas.Identity.Pages.Account.Manage.TwoFactorAuthenticationModel
