Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
ModernArchitectureShop.Basket.Application.Persistence,IBasketRepository,0,9,0,0,0,22,9,1,0,-1,1,3,ModernArchitectureShop.Basket.Domain.Basket,ModernArchitectureShop.Basket.Infrastructure.Persistence.BasketRepository' ModernArchitectureShop.Basket.Infrastructure.UseCases.AddItem.AddItemHandler' ModernArchitectureShop.Basket.Infrastructure.ServiceCollection.ServiceCollectionExtensions
ModernArchitectureShop.Basket.Application.Persistence,IItemRepository,0,10,0,0,0,24,10,1,0,-1,1,10,ModernArchitectureShop.Basket.Domain.Item,ModernArchitectureShop.Basket.Infrastructure.ServiceCollection.DatabaseExtensions' ModernArchitectureShop.Basket.Infrastructure.ServiceCollection.ServiceCollectionExtensions' ModernArchitectureShop.Basket.Infrastructure.UseCases.AddItem.AddItemHandler' ModernArchitectureShop.Basket.Infrastructure.UseCases.UpdateItem.UpdateItemHandler' ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItemsPage.GetItemsPageHandler' ModernArchitectureShop.Basket.Infrastructure.UseCases.GetBasketTotalPrice.GetBasketTotalPriceHandler' ModernArchitectureShop.BasketApi.Program' ModernArchitectureShop.Basket.Infrastructure.Persistence.ItemRepository' ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItems.GetItemsHandler' ModernArchitectureShop.Basket.Infrastructure.UseCases.DeleteItem.DeleteItemHandler
ModernArchitectureShop.Basket.Application.UseCases.AddItem,IAddItem,0,0,8,0,0,11,0,1,0,-1,0,1,,ModernArchitectureShop.Basket.Infrastructure.UseCases.AddItem.AddItemCommand
ModernArchitectureShop.Basket.Application.UseCases.DeleteItem,IDeleteItem,0,0,1,0,0,4,0,1,0,-1,0,1,,ModernArchitectureShop.Basket.Infrastructure.UseCases.DeleteItem.DeleteItemCommand
ModernArchitectureShop.Basket.Application.UseCases.GetBasketTotalPrice,IBasketTotalPrice,0,0,1,0,0,4,0,1,0,-1,0,1,,ModernArchitectureShop.Basket.Infrastructure.UseCases.GetBasketTotalPrice.GetBasketTotalPriceCommand
ModernArchitectureShop.Basket.Application.UseCases.GetItemsInPage,IGetItemsPage,0,0,3,0,0,6,0,1,0,-1,0,1,,ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItemsPage.GetItemsPageCommand
ModernArchitectureShop.Basket.Application.UseCases.GetItems,IGetItems,0,0,1,0,0,4,0,1,0,-1,0,1,,ModernArchitectureShop.Basket.Infrastructure.UseCases.GetItems.GetItemsCommand
ModernArchitectureShop.Basket.Application.UseCases.SetStatus,ISetStatus,0,0,0,0,0,3,0,0,0,-1,0,0,,
ModernArchitectureShop.Basket.Application.UseCases.UpdateItem,IUpdateItem,0,0,2,0,0,5,0,1,0,-1,0,1,,ModernArchitectureShop.Basket.Infrastructure.UseCases.UpdateItem.UpdateItemCommand
