Project,Namespace,Ca types,Ce types
ModernArchitectureShop.ShopUI,ModernArchitectureShop.ShopUI.Components,,ModernArchitectureShop.ShopUI.Models.ItemModel' ModernArchitectureShop.ShopUI.Models.ItemsModel' ModernArchitectureShop.ShopUI.Services.BasketHttpClientService' ModernArchitectureShop.ShopUI.Services.OrderHttpClientService' ModernArchitectureShop.ShopUI.Models.OrdersModel' ModernArchitectureShop.ShopUI.DaprClients.ProductsDaprClient' ModernArchitectureShop.ShopUI.Models.ProductsModel' ModernArchitectureShop.ShopUI.Services.ProductHttpClientService
ModernArchitectureShop.ShopUI,ModernArchitectureShop.ShopUI.DaprClients,ModernArchitectureShop.ShopUI.Components.Products' ModernArchitectureShop.ShopUI.Startup,ModernArchitectureShop.ShopUI.Models.ProductModel
ModernArchitectureShop.ShopUI,ModernArchitectureShop.ShopUI,ModernArchitectureShop.ShopUI.Services.OrderHttpClientService' ModernArchitectureShop.ShopUI.Services.HttpClientServiceBase,ModernArchitectureShop.ShopUI.DaprClients.ProductsDaprClient' ModernArchitectureShop.ShopUI.Services.BasketHttpClientService' ModernArchitectureShop.ShopUI.Services.IdentityService' ModernArchitectureShop.ShopUI.Services.OrderHttpClientService' ModernArchitectureShop.ShopUI.Services.ProductHttpClientService
ModernArchitectureShop.ShopUI,ModernArchitectureShop.ShopUI.Models,ModernArchitectureShop.ShopUI.Components.Basket' ModernArchitectureShop.ShopUI.Components.Order' ModernArchitectureShop.ShopUI.Components.Products' ModernArchitectureShop.ShopUI.Services.HttpClientServiceBase' ModernArchitectureShop.ShopUI.Services.OrderHttpClientService' ModernArchitectureShop.ShopUI.Components.OrderHistory' ModernArchitectureShop.ShopUI.DaprClients.ProductsDaprClient,
ModernArchitectureShop.ShopUI,ModernArchitectureShop.ShopUI.Pages,,
ModernArchitectureShop.ShopUI,ModernArchitectureShop.ShopUI.Services,ModernArchitectureShop.ShopUI.Components.Order' ModernArchitectureShop.ShopUI.Components.Products' ModernArchitectureShop.ShopUI.Startup' ModernArchitectureShop.ShopUI.Components.Basket' ModernArchitectureShop.ShopUI.Components.OrderHistory,ModernArchitectureShop.ShopUI.TokenProvider' ModernArchitectureShop.ShopUI.Models.ItemModel' ModernArchitectureShop.ShopUI.Models.ItemsModel
