Design smell,Namespace,Class,File,Cause
Unnecessary Abstraction,ModernArchitectureShop.Store.Application.UseCases.AddOrUpdateProductStore,IAddOrdUpdateProductStore,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Store\ModernArchitectureShop.Store.Application\UseCases\AddOrUpdateProductStore\IAddOrdUpdateProductStore.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ProductId' StoreId' Quantity' CanPurchase
Unnecessary Abstraction,ModernArchitectureShop.Store.Application.UseCases.CreateProduct,ICreateProduct,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Store\ModernArchitectureShop.Store.Application\UseCases\CreateProduct\ICreateProduct.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ProductId' Code' Name' Price' ImageUrl
Unnecessary Abstraction,ModernArchitectureShop.Store.Application.UseCases.CreateStore,ICreateStore,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Store\ModernArchitectureShop.Store.Application\UseCases\CreateStore\ICreateStore.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Name' AddressId
Unnecessary Abstraction,ModernArchitectureShop.Store.Application.UseCases.DeleteProduct,IDeleteProduct,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Store\ModernArchitectureShop.Store.Application\UseCases\DeleteProduct\IDeleteProduct.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ProductId
Unnecessary Abstraction,ModernArchitectureShop.Store.Application.UseCases.GetProductsByIds,IGetProductsByIds,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Store\ModernArchitectureShop.Store.Application\UseCases\GetProductsByIds\IGetProductsByIds.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ProductIds
Unnecessary Abstraction,ModernArchitectureShop.Store.Application.UseCases.GetProducts,IGetProducts,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Store\ModernArchitectureShop.Store.Application\UseCases\GetProducts\IGetProducts.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: PageIndex' PageSize
Unnecessary Abstraction,ModernArchitectureShop.Store.Application.UseCases.GetStores,IGetStore,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Store\ModernArchitectureShop.Store.Application\UseCases\GetStores\IGetStore.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unnecessary Abstraction,ModernArchitectureShop.Store.Application.UseCases.SearchProducts,ISearchProducts,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Store\ModernArchitectureShop.Store.Application\UseCases\SearchProducts\ISearchProducts.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Filter' PageIndex' PageSize
Broken Modularization,ModernArchitectureShop.Store.Application.UseCases.CreateProduct,ICreateProduct,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Store\ModernArchitectureShop.Store.Application\UseCases\CreateProduct\ICreateProduct.cs,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields and properties are declared in this class: ProductId' Code' Name' Price' ImageUrl
