Architecture smell,Project,Namespace,Cause,Responsible Classes,Participating Classes
Cyclic Dependency,ModernArchitectureShop.Basket.Infrastructure,ModernArchitectureShop.Basket.Infrastructure.Dto,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: ModernArchitectureShop.Basket.Infrastructure.Dto' ModernArchitectureShop.Basket.Infrastructure.UseCases.AddItem,ModernArchitectureShop.Basket.Infrastructure.Dto.BasketDto' ModernArchitectureShop.Basket.Infrastructure.Dto.ItemMappingProfile' ModernArchitectureShop.Basket.Infrastructure.UseCases.AddItem.AddItemCommand' ModernArchitectureShop.Basket.Infrastructure.UseCases.AddItem.AddItemHandler,ModernArchitectureShop.Basket.Infrastructure.Dto.BasketDto' ModernArchitectureShop.Basket.Infrastructure.Dto.ItemMappingProfile' ModernArchitectureShop.Basket.Infrastructure.UseCases.AddItem.AddItemCommand' ModernArchitectureShop.Basket.Infrastructure.UseCases.AddItem.AddItemHandler
Unstable Dependency,ModernArchitectureShop.Basket.Infrastructure,ModernArchitectureShop.Basket.Infrastructure.Dto,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): ModernArchitectureShop.Basket.Infrastructure.UseCases.AddItem,ModernArchitectureShop.Basket.Infrastructure.Dto.AddItemCommand,ModernArchitectureShop.Basket.Infrastructure.Dto.AddItemCommand
