Design smell,Namespace,Class,File,Cause
Unnecessary Abstraction,ModernArchitectureShop.Store.Infrastructure.UseCases.CreateStore,CreateStoreCommand,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Store\ModernArchitectureShop.Store.Infrastructure\UseCases\CreateStore\CreateStoreCommand.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Name' AddressId
Unutilized Abstraction,ModernArchitectureShop.Store.Infrastructure.UseCases.CreateStore,CreateStoreHandler,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Store\ModernArchitectureShop.Store.Infrastructure\UseCases\CreateStore\CreateStoreHandler.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,ModernArchitectureShop.Store.Infrastructure.UseCases.CreateStore,CreateStoreValidator,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Store\ModernArchitectureShop.Store.Infrastructure\UseCases\CreateStore\CreateStoreValidator.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,ModernArchitectureShop.Store.Infrastructure.UseCases.DeleteProduct,DeleteProduct,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Store\ModernArchitectureShop.Store.Infrastructure\UseCases\DeleteProduct\DeleteProduct.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ProductId
Unutilized Abstraction,ModernArchitectureShop.Store.Infrastructure.UseCases.DeleteProduct,DeleteProductHandler,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Store\ModernArchitectureShop.Store.Infrastructure\UseCases\DeleteProduct\DeleteProductHandler.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Feature Envy,ModernArchitectureShop.Store.Infrastructure.UseCases.DeleteProduct,DeleteProductHandler,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Store\ModernArchitectureShop.Store.Infrastructure\UseCases\DeleteProduct\DeleteProductHandler.cs,The tool detected the smell because a method in this type accesses members from another type more than the members from its own type. The method causing this smell is: Handle which is more interested in members of the type: IProductRepository
Unutilized Abstraction,ModernArchitectureShop.Store.Infrastructure.UseCases.DeleteProduct,DeleteProductRequestValidator,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Store\ModernArchitectureShop.Store.Infrastructure\UseCases\DeleteProduct\DeleteProductValidator.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,ModernArchitectureShop.Store.Infrastructure.UseCases.GetProductsByIds,GetProductsByIdsCommand,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Store\ModernArchitectureShop.Store.Infrastructure\UseCases\GetProductsByIds\GetProductsByIdsCommand.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ProductIds
Unutilized Abstraction,ModernArchitectureShop.Store.Infrastructure.UseCases.GetProductsByIds,GetProductsByIdsHandler,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Store\ModernArchitectureShop.Store.Infrastructure\UseCases\GetProductsByIds\GetProductsByIdsHandler.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,ModernArchitectureShop.Store.Infrastructure.UseCases.GetProductsByIds,GetProductsByIdsResponse,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Store\ModernArchitectureShop.Store.Infrastructure\UseCases\GetProductsByIds\GetProductsByIdsResponse.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Products
