Namespace,Type,Method,LOC,CC,PC
CustomerSQLDB,CustomerManager,CustomerManager,2,1,0
CustomerSQLDB,CustomerManager,CustomerManager,4,1,2
CustomerSQLDB,CustomerManager,Add,4,1,1
CustomerSQLDB,CustomerManager,Query,8,1,1
CustomerSQLDB,ICommandCustomerDB,Add,0,1,1
CustomerSQLDB,IQueryCustomerDB,Query,0,1,1
CustomerSQLDB.DbModels,Customer,Customer,2,1,0
CustomerSQLDB.DbModels,Customer,Customer,9,1,1
CustomerSQLDB.DbModels,CustomerDbContext,CustomerDbContext,1,1,1
