Testability smell,Namespace,Class,File,Cause
Excessive Dependency,Vehicle.Controllers.Mediator,VehiclePublisherHandler,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\vehicle-tracking-microservices-master\vehicle-tracking-microservices-master\vehicle-tracking-poc\Vehicle\Controllers\Mediator\VehiclePublisherHandler.cs,The tool detected the smell in this class because the class depends on too many dependencies. The dependencies are: Vehicle.Controllers.Mediator.VehiclePublisher' BuildingAspects.Behaviors.Defaults' BuildingAspects.Behaviors.Function' DomainModels.Business.VehicleDomain.Vehicle' DomainModels.System.Identifiers' DomainModels.Types.DomainModel<Model>' DomainModels.Types.Identifiers' DomainModels.Types.Messages.MessageFooter' DomainModels.Types.Messages.MessageHeader' DomainModels.Types.Messages.ResponseHint
Excessive Dependency,Vehicle.Controllers.Mediator,VehicleRequestHandler,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\vehicle-tracking-microservices-master\vehicle-tracking-microservices-master\vehicle-tracking-poc\Vehicle\Controllers\Mediator\VehicleRequestHandler.cs,The tool detected the smell in this class because the class depends on too many dependencies. The dependencies are: Vehicle.Controllers.Mediator.VehicleRequest' BuildingAspects.Behaviors.Defaults' BuildingAspects.Behaviors.Function' DomainModels.Business.VehicleDomain.VehicleFilterModel' DomainModels.Business.VehicleDomain.Vehicle' DomainModels.System.Identifiers' DomainModels.Types.Identifiers' DomainModels.Types.Messages.MessageFooter' DomainModels.Types.Messages.MessageHeader' DomainModels.Types.Messages.ResponseHint
Excessive Dependency,Vehicle.Controllers,VehicleController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\vehicle-tracking-microservices-master\vehicle-tracking-microservices-master\vehicle-tracking-poc\Vehicle\Controllers\VehicleController.cs,The tool detected the smell in this class because the class depends on too many dependencies. The dependencies are: Vehicle.Controllers.Mediator.VehiclePublisher' Vehicle.Controllers.Mediator.VehicleRequest' Vehicle.Models.Identifiers' Vehicle.Models.VehicleRequest' Vehicle.Models.VehicleResponse' BuildingAspects.Services.IMessageCommand' BuildingAspects.Services.IMessageRequest' BuildingAspects.Services.IOperationalUnit' DomainModels.Business.VehicleDomain.VehicleFilterModel' DomainModels.Business.VehicleDomain.VehicleFilter' DomainModels.Business.VehicleDomain.Vehicle' DomainModels.System.MiddlewareConfiguration' WebComponents.Interceptors.CustomHeader
Hard-wired Dependency,Vehicle,Startup,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\vehicle-tracking-microservices-master\vehicle-tracking-microservices-master\vehicle-tracking-poc\Vehicle\Startup.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: VehicleSQLDB.VehicleManager' RedisCacheAdapter.CacheManager' BuildingAspects.Behaviors.Utilities
Excessive Dependency,Vehicle,Startup,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\vehicle-tracking-microservices-master\vehicle-tracking-microservices-master\vehicle-tracking-poc\Vehicle\Startup.cs,The tool detected the smell in this class because the class depends on too many dependencies. The dependencies are: BuildingAspects.Behaviors.Utilities' BuildingAspects.Services.IMessageCommand' BuildingAspects.Services.IMessageRequest' BuildingAspects.Services.IOperationalUnit' BuildingAspects.Services.OperationalUnit' BackgroundMiddleware.RabbitMQPublisher' BackgroundMiddleware.RabbitMQRequestClient<TRequest'TResponse>' BackgroundMiddleware.RabbitMQRequestWorker' BackgroundMiddleware.RabbitMQSubscriberWorker' DomainModels.Business.CustomerDomain.Customer' DomainModels.Business.VehicleDomain.VehicleFilterModel' DomainModels.Business.VehicleDomain.VehicleModel' DomainModels.Business.VehicleDomain.Vehicle' DomainModels.DataStructure.RabbitMQConfiguration' DomainModels.System.Identifiers' DomainModels.System.MiddlewareConfiguration' DomainModels.System.ServiceConfiguration' WebComponents.Interceptors.CustomAuthorizer' WebComponents.Interceptors.CustomeExceptoinHandler' WebComponents.Interceptors.CustomResponseResult' RedisCacheAdapter.CacheManager' VehicleSQLDB.DbModels.Vehicle' VehicleSQLDB.DbModels.VehicleDbContext' VehicleSQLDB.VehicleManager
