Architecture smell,Project,Namespace,Cause,Responsible Classes,Participating Classes
Unstable Dependency,DomainModels,DomainModels.Business.VehicleDomain,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): DomainModels.Types,DomainModels.Business.VehicleDomain.DomainModel<Model>,DomainModels.Business.VehicleDomain.DomainModel<Model>
Feature Concentration,DomainModels,DomainModels.Types.Messages,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [IMessageFooter' MessageFooter]' [IMessageHeader' MessageHeader]' [Message]' [ResponseHint]. LCC (Lack of Component Cohesion) = 0'67,DomainModels.Types.Messages.IMessageHeader' DomainModels.Types.Messages.MessageHeader' DomainModels.Types.Messages.Message' DomainModels.Types.Messages.ResponseHint,DomainModels.Types.Messages.IMessageFooter' DomainModels.Types.Messages.IMessageHeader' DomainModels.Types.Messages.Message' DomainModels.Types.Messages.MessageFooter' DomainModels.Types.Messages.MessageHeader' DomainModels.Types.Messages.ResponseHint
