Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
WebComponents.Interceptors,CustomAuthonticator,0,3,1,0,3,19,3,0,0,-1,0,0,,
WebComponents.Interceptors,CustomAuthorizer,2,3,1,0,3,61,5,0,0,0,67,6,4,BuildingAspects.Behaviors.Defaults' BuildingAspects.Services.IOperationalUnit' DomainModels.Types.Identifiers' DomainModels.Types.Messages.MessageFooter' DomainModels.Types.Messages.MessageHeader' DomainModels.Types.Messages.ResponseHint,Tracking.Startup' Ping.Startup' Customer.Startup' Vehicle.Startup
WebComponents.Interceptors,CustomeExceptoinHandler,4,3,1,0,3,79,4,0,0,0,67,7,4,BuildingAspects.Behaviors.Defaults' BuildingAspects.Services.IOperationalUnit' DomainModels.Types.Identifiers' DomainModels.Types.Exceptions.CustomException' DomainModels.Types.Messages.MessageFooter' DomainModels.Types.Messages.MessageHeader' DomainModels.Types.Messages.ResponseHint,Ping.Startup' Customer.Startup' Tracking.Startup' Vehicle.Startup
WebComponents.Interceptors,CustomHeader,2,3,1,0,3,25,4,0,0,0,67,0,4,,Ping.Controllers.PingController' Tracking.Controllers.TrackingController' Customer.Controllers.CustomerController' Vehicle.Controllers.VehicleController
WebComponents.Interceptors,CustomResponseResult,2,3,1,0,3,80,4,0,0,0,67,6,4,BuildingAspects.Behaviors.Defaults' BuildingAspects.Services.IOperationalUnit' DomainModels.Types.Identifiers' DomainModels.Types.Messages.MessageFooter' DomainModels.Types.Messages.MessageHeader' DomainModels.Types.Messages.ResponseHint,Tracking.Startup' Customer.Startup' Vehicle.Startup' Ping.Startup
WebComponents.WebMiddlewares,CustomResponse,1,2,0,0,2,38,2,0,0,0,5,0,BuildingAspects.Behaviors.Defaults' DomainModels.Types.Identifiers' DomainModels.Types.Messages.MessageFooter' DomainModels.Types.Messages.MessageHeader' DomainModels.Types.Messages.ResponseHint,
WebComponents.WebMiddlewares,RequestCulture,1,2,0,0,2,20,3,0,0,0,0,0,,
