Implementation smell,Namespace,Class,File,Method,Description
Long Statement,EventSourceingSQLDBTests,PingTest,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\vehicle-tracking-microservices-master\vehicle-tracking-microservices-master\vehicle-tracking-poc\EventSourcing\EventSourceingSqlDbTests\PingTest.cs,SetUp,The length of the statement  "                Header = new MessageHeader(executionId: Guid.NewGuid()' timestamp: new DateTimeOffset(DateTime.UtcNow).ToUnixTimeMilliseconds())'" is 129.
Long Statement,EventSourceingSQLDBTests,PingTest,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\vehicle-tracking-microservices-master\vehicle-tracking-microservices-master\vehicle-tracking-poc\EventSourcing\EventSourceingSqlDbTests\PingTest.cs,TestAddPingEventSourcingVerifyMessageBody,The length of the statement  "            Assert.IsTrue(originalObj.EqualsByValue(messageBody)' "Add ping failed' can't get the original body from the message.");" is 120.
