project,versionId,versionIndex,versionDate,ATDI,ATDI_HOURS,ATDI_WEIGHTED,ATDI_WEIGHTED_HOURS,AffectedClassesRatio,AffectedComponentType,AffectedConstructType,AffectedElements,AfferentAffectedRatio,CentralComponent,EfferentAffectedRatio,InstabilityGap,LOCDensity,MeanContTreeDepth,MeanContTreeDistance,NumberOfEdges,PageRankWeighted,PageRankWeightedRanking,SMELL_EDGES_IDS,Severity,Shape,Size,SmellExtent,SmellExtentByWeight,StDContTreeDepth,StDContTreeDistance,Strength,ThresholdValueUsed,TotalDependenciesCount,TotalNumberOfChanges,smellType,vertexId,vertexLabel
ftgo-application/,558dfc53b11d30a5f1d995c0c6d58d5106c28189,0,2022-09-03T07:27:37,70.21241475358966,12.778659485153318,70.21241475358966,12.778659485153318,0.0,CONTAINER,PACKAGE,"[net.chrisrichardson.ftgo.apiagateway.orders, net.chrisrichardson.ftgo.apiagateway.proxies]",0.0,,0.0,0.0,0.0,5.0,1.0,2,8.861000759622685E-4,1,"[5262, 5383]",4.551194868286574,TINY,2,238,238,0.0,0.0,0.0,,,0,cyclicDep,18094,smell
ftgo-application/,558dfc53b11d30a5f1d995c0c6d58d5106c28189,0,2022-09-03T07:27:37,16.78211283811431,3.054344536536804,16.78211283811431,3.054344536536804,0.0,CONTAINER,PACKAGE,"[net.chrisrichardson.ftgo.restaurantservice.domain, net.chrisrichardson.ftgo.restaurantservice.events]",0.0,,0.0,0.0,0.0,5.0,1.0,2,2.729618742654742E-4,1,"[5411, 5332]",4.333122902412693,TINY,2,15,15,0.0,0.0,0.0,,,0,cyclicDep,18127,smell
ftgo-application/,558dfc53b11d30a5f1d995c0c6d58d5106c28189,0,2022-09-03T07:27:37,185.67171092434086,33.792251388230035,70.28307879755238,12.791520341154532,0.0,CONTAINER,PACKAGE,"[net.chrisrichardson.ftgo.orderservice.domain, net.chrisrichardson.ftgo.orderservice.sagas.createorder, net.chrisrichardson.ftgo.orderservice, net.chrisrichardson.ftgo.orderservice.sagaparticipants]",0.0,,0.0,0.0,0.0,5.0,1.8333333333333333,4,1.8385814547648713E-4,1,"[5361, 5337, 5297, 5461]",5.0988704452234765,CIRCLE,4,1326,190,0.7071067811865476,0.37267799624996495,0.0,,,0,cyclicDep,18152,smell
ftgo-application/,558dfc53b11d30a5f1d995c0c6d58d5106c28189,0,2022-09-03T07:27:37,117.88565513438184,21.455189234457496,68.13809006255931,12.401132391385795,0.0,CONTAINER,PACKAGE,"[net.chrisrichardson.ftgo.orderservice.sagas.createorder, net.chrisrichardson.ftgo.orderservice.sagaparticipants]",0.0,,0.0,0.0,0.0,5.5,2.0,2,1.3686688182971952E-4,1,"[5361, 5456]",5.600916501602991,TINY,2,443,148,0.5,0.0,0.0,,,0,cyclicDep,18162,smell
ftgo-application/,558dfc53b11d30a5f1d995c0c6d58d5106c28189,0,2022-09-03T07:27:37,43.48241536693391,7.9137995967819705,43.48241536693391,7.9137995967819705,0.0,CONTAINER,PACKAGE,"[net.chrisrichardson.ftgo.cqrs.orderhistory.dynamodb, net.chrisrichardson.ftgo.cqrs.orderhistory]",0.0,,0.0,0.0,0.0,5.5,0.0,2,2.0536375136594097E-4,1,"[5424, 5414]",5.478269403110499,TINY,2,63,63,0.5,0.0,0.0,,,0,cyclicDep,18203,smell
ftgo-application/,558dfc53b11d30a5f1d995c0c6d58d5106c28189,0,2022-09-03T07:27:37,56.55370856069386,10.292774958046284,22.381733455586044,4.07347548891666,0.0,CONTAINER,PACKAGE,"[net.chrisrichardson.ftgo.orderservice.domain, net.chrisrichardson.ftgo.orderservice, net.chrisrichardson.ftgo.orderservice.web]",0.0,,0.0,0.0,0.0,4.666666666666667,2.0,6,2.0019839963902002E-4,1,"[5297, 5298, 5248, 5254, 5322, 5306]",4.389419063002528,CLIQUE,3,166,26,0.4714045207910317,0.0,0.0,,,0,cyclicDep,18227,smell
ftgo-application/,558dfc53b11d30a5f1d995c0c6d58d5106c28189,0,2022-09-03T07:27:37,43.453031788860244,7.908451785572565,15.826275501154711,2.8803821412101573,0.0,CONTAINER,PACKAGE,"[net.chrisrichardson.ftgo.orderservice.domain, net.chrisrichardson.ftgo.orderservice, net.chrisrichardson.ftgo.orderservice.sagaparticipants]",0.0,,0.0,0.0,0.0,4.666666666666667,2.0,6,2.1022772579588073E-4,1,"[5360, 5355, 5337, 5306, 5297, 5307]",4.389419063002528,CLIQUE,3,98,13,0.4714045207910317,0.0,0.0,,,0,cyclicDep,18236,smell
ftgo-application/,558dfc53b11d30a5f1d995c0c6d58d5106c28189,0,2022-09-03T07:27:37,46.66016467291397,8.492149970470344,18.098038431859123,3.2938429945983603,0.0,CONTAINER,PACKAGE,"[net.chrisrichardson.ftgo.orderservice.messaging, net.chrisrichardson.ftgo.orderservice.domain, net.chrisrichardson.ftgo.orderservice]",0.0,,0.0,0.0,0.0,4.666666666666667,2.0,6,1.9112217634623875E-4,1,"[5297, 5299, 5275, 5277, 5306, 5338]",4.389419063002528,CLIQUE,3,113,17,0.4714045207910317,0.0,0.0,,,0,cyclicDep,18245,smell
ftgo-application/,558dfc53b11d30a5f1d995c0c6d58d5106c28189,0,2022-09-03T07:27:37,29.56835912132699,5.381441360081512,11.930043205339343,2.1712678633717606,0.0,CONTAINER,PACKAGE,"[net.chrisrichardson.ftgo.orderservice.domain, net.chrisrichardson.ftgo.orderservice.service, net.chrisrichardson.ftgo.orderservice.sagas.reviseorder]",0.0,,0.0,0.0,0.0,5.333333333333333,2.0,4,1.4268496280020926E-4,1,"[5326, 5402, 5318, 5339]",4.5091324930833965,CHAIN,3,43,7,0.4714045207910317,0.0,0.0,,,0,cyclicDep,18254,smell
ftgo-application/,558dfc53b11d30a5f1d995c0c6d58d5106c28189,0,2022-09-03T07:27:37,27.051318826175073,4.923340026363863,27.051318826175073,4.923340026363863,0.0,CONTAINER,PACKAGE,"[net.chrisrichardson.ftgo.kitchenservice.messagehandlers, net.chrisrichardson.ftgo.kitchenservice.web, net.chrisrichardson.ftgo.kitchenservice.domain]",0.0,,0.0,0.0,0.0,5.0,1.3333333333333333,4,1.4215316499010204E-4,1,"[5393, 5261, 5241, 5392]",4.125287446603172,CHAIN,3,43,43,0.0,0.9428090415820634,0.0,,,0,cyclicDep,18263,smell
