project,versionId,versionIndex,versionDate,ATDI,ATDI_HOURS,ATDI_WEIGHTED,ATDI_WEIGHTED_HOURS,AffectedClassesRatio,AffectedComponentType,AffectedConstructType,AffectedElements,AffectsIndexList,AfferentAffectedRatio,CentralComponent,EfferentAffectedRatio,InstabilityGap,LOCDensity,MeanContTreeDepth,MeanContTreeDistance,NumberOfEdges,PageRankWeighted,PageRankWeightedRanking,SMELL_EDGES_IDS,Severity,Shape,Size,SmellExtent,SmellExtentByWeight,StDContTreeDepth,StDContTreeDistance,Strength,TotalNumberOfChanges,smellType,vertexId,vertexLabel
CloudShop-MicroService-Architecture/,1f9d7289bcd73f0af1a05b592b5121e9eeb3f1de,0,2019-07-17T10:17:55,58.791510226404945,10.7000548612057,58.791510226404945,10.7000548612057,0.0,CONTAINER,PACKAGE,"[com.cloud.shop.core.servicegovern.pojo, com.cloud.shop.core.utils]",1269;1272,0.0,,0.0,0.0,0.0,5.5,2.0,2,0.004733618871925661,1,"[1269, 1272]",6.614561683289681,TINY,2,79,79,0.5,0.0,0.0,0,cyclicDep,4003,smell
CloudShop-MicroService-Architecture/,1f9d7289bcd73f0af1a05b592b5121e9eeb3f1de,0,2019-07-17T10:17:55,7.747442888212428,1.410034605654662,7.747442888212428,1.410034605654662,0.0,CONTAINER,PACKAGE,"[com.cloud.shop.core.servicegovern.serviceregister.registerimpl, com.cloud.shop.core.servicegovern.serviceregister]",1258;1203,0.0,,0.0,0.0,0.0,6.5,0.0,2,3.0185434876998614E-4,1,"[1258, 1203]",5.478269403110499,TINY,2,2,2,0.5,0.0,0.0,0,cyclicDep,4011,smell
