project,versionId,versionIndex,versionDate,ATDI,ATDI_HOURS,ATDI_WEIGHTED,ATDI_WEIGHTED_HOURS,AffectedClassesRatio,AffectedComponentType,AffectedConstructType,AffectedElements,AffectsIndexList,AfferentAffectedRatio,CentralComponent,EfferentAffectedRatio,InstabilityGap,LOCDensity,MeanContTreeDepth,MeanContTreeDistance,NumberOfEdges,PageRankWeighted,PageRankWeightedRanking,SMELL_EDGES_IDS,Severity,Shape,Size,SmellExtent,SmellExtentByWeight,StDContTreeDepth,StDContTreeDistance,Strength,TotalNumberOfChanges,smellType,vertexId,vertexLabel
qbike/,47301e2067b7d8f5614b2359a9934f4080367d2e,0,2019-01-03T05:47:28,22.640045471932893,4.120488275891787,22.640045471932893,4.120488275891787,0.0,CONTAINER,PACKAGE,"[club.newtech.qbike.intention.domain.core.vo, club.newtech.qbike.intention.domain.core.root]",1430;1460,0.0,,0.0,0.0,0.0,7.0,1.0,2,0.004008119192487922,1,"[1430, 1460]",5.660011367983223,TINY,2,16,16,0.0,0.0,0.0,0,cyclicDep,4716,smell
qbike/,47301e2067b7d8f5614b2359a9934f4080367d2e,0,2019-01-03T05:47:28,13.799541072298835,2.511516475158388,13.799541072298835,2.511516475158388,0.0,CONTAINER,PACKAGE,"[club.newtech.qbike.order.domain.exception, club.newtech.qbike.order.domain.service, club.newtech.qbike.order.util]",1466;1443;1462,0.0,,0.0,0.0,0.0,5.666666666666667,1.6666666666666667,3,6.085938318412726E-4,1,"[1466, 1443, 1462]",4.599847024099612,CIRCLE,3,9,9,0.4714045207910317,0.4714045207910317,0.0,0,cyclicDep,4724,smell
qbike/,47301e2067b7d8f5614b2359a9934f4080367d2e,0,2019-01-03T05:47:28,11.218492258198614,2.0417655909921475,11.218492258198614,2.0417655909921475,0.0,UNIT,CONCRETE_CLASS,"[club.newtech.qbike.intention.domain.core.vo.Candidate, club.newtech.qbike.intention.domain.core.root.Intention]",1027;1275,0.0,,0.0,0.0,0.0,7.0,1.0,2,4.013940737960146E-4,1,"[1027, 1275]",4.579930285991667,TINY,2,6,6,0.0,0.0,0.0,0,cyclicDep,4733,smell
