Testability smell,Namespace,Class,File,Cause
Hard-wired Dependency,Ocelot.Configuration.Creator,RateLimitOptionsCreator,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Creator\RateLimitOptionsCreator.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.Configuration.Builder.RateLimitOptionsBuilder
Law of Demeter violation,Ocelot.Configuration.Creator,RateLimitOptionsCreator,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Creator\RateLimitOptionsCreator.cs,The tool detected the smell in this method (Create) because the method voilates the law of Demeter. The long chain of method invocations is : Ocelot.Configuration.Builder.RateLimitOptionsBuilder.WithRateLimitRule' Ocelot.Configuration.Builder.RateLimitOptionsBuilder.Build
Law of Demeter violation,Ocelot.Configuration.Creator,RateLimitOptionsCreator,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Creator\RateLimitOptionsCreator.cs,The tool detected the smell in this method (Create) because the method voilates the law of Demeter. The long chain of method invocations is : Ocelot.Configuration.Builder.RateLimitOptionsBuilder.WithEnableRateLimiting' Ocelot.Configuration.Builder.RateLimitOptionsBuilder.Build
Hard-wired Dependency,Ocelot.Configuration.Creator,RouteOptionsCreator,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Creator\RouteOptionsCreator.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.Configuration.Builder.RouteOptionsBuilder
Hard-wired Dependency,Ocelot.Configuration.Creator,RoutesCreator,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Creator\RoutesCreator.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.Configuration.Builder.DownstreamRouteBuilder' Ocelot.Configuration.Builder.RouteBuilder
Excessive Dependency,Ocelot.Configuration.Creator,RoutesCreator,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Creator\RoutesCreator.cs,The tool detected the smell in this class because the class depends on too many dependencies. The dependencies are: Ocelot.Cache.IRegionCreator' Ocelot.Configuration.CacheOptions' Ocelot.Configuration.DownstreamRoute' Ocelot.Configuration.Route' Ocelot.Configuration.Builder.DownstreamRouteBuilder' Ocelot.Configuration.Builder.RouteBuilder' Ocelot.Configuration.Creator.IAuthenticationOptionsCreator' Ocelot.Configuration.Creator.IClaimsToThingCreator' Ocelot.Configuration.Creator.IDownstreamAddressesCreator' Ocelot.Configuration.Creator.IHeaderFindAndReplaceCreator' Ocelot.Configuration.Creator.IHttpHandlerOptionsCreator' Ocelot.Configuration.Creator.ILoadBalancerOptionsCreator' Ocelot.Configuration.Creator.IQoSOptionsCreator' Ocelot.Configuration.Creator.IRateLimitOptionsCreator' Ocelot.Configuration.Creator.IRequestIdKeyCreator' Ocelot.Configuration.Creator.IRoutesCreator' Ocelot.Configuration.Creator.IRouteKeyCreator' Ocelot.Configuration.Creator.IRouteOptionsCreator' Ocelot.Configuration.Creator.ISecurityOptionsCreator' Ocelot.Configuration.Creator.IUpstreamTemplatePatternCreator' Ocelot.Configuration.Creator.IVersionCreator' Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.File.FileGlobalConfiguration' Ocelot.Configuration.File.FileRoute
Law of Demeter violation,Ocelot.Configuration.Creator,RoutesCreator,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Creator\RoutesCreator.cs,The tool detected the smell in this method (SetUpDownstreamRoute) because the method voilates the law of Demeter. The long chain of method invocations is : Ocelot.Configuration.Builder.DownstreamRouteBuilder.WithDownStreamHttpMethod' Ocelot.Configuration.Builder.DownstreamRouteBuilder.Build
Law of Demeter violation,Ocelot.Configuration.Creator,RoutesCreator,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Creator\RoutesCreator.cs,The tool detected the smell in this method (SetUpRoute) because the method voilates the law of Demeter. The long chain of method invocations is : Ocelot.Configuration.Builder.RouteBuilder.WithUpstreamHost' Ocelot.Configuration.Builder.RouteBuilder.Build
Hard-wired Dependency,Ocelot.Configuration.Creator,ServiceProviderConfigurationCreator,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Creator\ServiceProviderConfigurationCreator.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.Configuration.Builder.ServiceProviderConfigurationBuilder
Excessive Dependency,Ocelot.Configuration.File,FileRoute,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\File\FileRoute.cs,The tool detected the smell in this class because the class depends on too many dependencies. The dependencies are: Ocelot.Configuration.File.FileAuthenticationOptions' Ocelot.Configuration.File.FileCacheOptions' Ocelot.Configuration.File.FileHostAndPort' Ocelot.Configuration.File.FileHttpHandlerOptions' Ocelot.Configuration.File.FileLoadBalancerOptions' Ocelot.Configuration.File.FileQoSOptions' Ocelot.Configuration.File.FileRateLimitRule' Ocelot.Configuration.File.FileSecurityOptions' Ocelot.Configuration.File.IRoute
