Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,OcelotApplicationService,ServiceEventSource,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\samples\OcelotServiceFabric\src\OcelotApplicationService\ServiceEventSource.cs,ServiceMessage,The method has 8 parameters. Parameters: serviceName' serviceTypeName' replicaOrInstanceId' partitionId' applicationName' applicationTypeName' nodeName' message
Long Identifier,OcelotApplicationService,ServiceEventSource,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\samples\OcelotServiceFabric\src\OcelotApplicationService\ServiceEventSource.cs,,The length of the parameter ServiceHostInitializationFailedEventId is 38.
Long Statement,OcelotApplicationService,ServiceEventSource,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\samples\OcelotServiceFabric\src\OcelotApplicationService\ServiceEventSource.cs,ServiceMessage,The length of the statement  "            WriteEvent(ServiceMessageEventId' serviceName' serviceTypeName' replicaOrInstanceId' partitionId' applicationName' applicationTypeName' nodeName' message);" is 155.
Long Statement,OcelotApplicationService,ServiceEventSource,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\samples\OcelotServiceFabric\src\OcelotApplicationService\ServiceEventSource.cs,ServiceMessage,The length of the statement  "            fixed (char* pServiceName = serviceName' pServiceTypeName = serviceTypeName' pApplicationName = applicationName' pApplicationTypeName = applicationTypeName' pNodeName = nodeName' pMessage = message)" is 198.
