Testability smell,Namespace,Class,File,Cause
Global State,Ocelot.Cache.CacheManager,OcelotBuilderExtensions,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot.Cache.CacheManager\OcelotBuilderExtensions.cs,The tool detected the smell in this class because the class can be accessed as a `global` state.
Excessive Dependency,Ocelot.Cache.CacheManager,OcelotBuilderExtensions,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot.Cache.CacheManager\OcelotBuilderExtensions.cs,The tool detected the smell in this class because the class depends on too many dependencies. The dependencies are: Ocelot.Cache.CacheManager.OcelotCacheManagerCache<T>' Ocelot.Cache.CachedResponse' Ocelot.Cache.CacheKeyGenerator' Ocelot.Cache.ICacheKeyGenerator' Ocelot.Cache.IOcelotCache' Ocelot.Configuration.IInternalConfiguration' Ocelot.Configuration.File.FileConfiguration' Ocelot.DependencyInjection.IOcelotBuilder
