Implementation smell,Namespace,Class,File,Method,Description
Magic Number,Ocelot.IntegrationTests,AdministrationTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\AdministrationTests.cs,should_get_file_configuration_edit_and_post_updated_version,The following statement contains a magic number: var updatedConfiguration = new FileConfiguration             {                 GlobalConfiguration = new FileGlobalConfiguration                 {                 }'                 Routes = new List<FileRoute>()                 {                     new FileRoute()                     {                         DownstreamHostAndPorts = new List<FileHostAndPort>                         {                             new FileHostAndPort                             {                                 Host = "localhost"'                                 Port = 80'                             }'                         }'                         DownstreamScheme = "http"'                         DownstreamPathTemplate = "/geoffrey"'                         UpstreamHttpMethod = new List<string> { "get" }'                         UpstreamPathTemplate = "/"'                     }'                     new FileRoute()                     {                         DownstreamHostAndPorts = new List<FileHostAndPort>                         {                             new FileHostAndPort                             {                                 Host = "123.123.123"'                                 Port = 443'                             }'                         }'                         DownstreamScheme = "https"'                         DownstreamPathTemplate = "/blooper/{productId}"'                         UpstreamHttpMethod = new List<string> { "post" }'                         UpstreamPathTemplate = "/test"'                     }'                 }'             };
Magic Number,Ocelot.IntegrationTests,AdministrationTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\AdministrationTests.cs,should_activate_change_token_when_configuration_is_updated,The following statement contains a magic number: var configuration = new FileConfiguration             {                 GlobalConfiguration = new FileGlobalConfiguration()'                 Routes = new List<FileRoute>                 {                     new FileRoute                     {                         DownstreamHostAndPorts = new List<FileHostAndPort>                         {                             new FileHostAndPort                             {                                 Host = "localhost"'                                 Port = 80'                             }'                         }'                         DownstreamScheme = "https"'                         DownstreamPathTemplate = "/"'                         UpstreamHttpMethod = new List<string> { "get" }'                         UpstreamPathTemplate = "/"'                     }'                 }'             };
Magic Number,Ocelot.IntegrationTests,AdministrationTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\AdministrationTests.cs,should_get_file_configuration_edit_and_post_updated_version_redirecting_route,The following statement contains a magic number: var fooPort = 47689;
Magic Number,Ocelot.IntegrationTests,AdministrationTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\AdministrationTests.cs,should_get_file_configuration_edit_and_post_updated_version_redirecting_route,The following statement contains a magic number: var barPort = 27654;
Magic Number,Ocelot.IntegrationTests,AdministrationTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\AdministrationTests.cs,should_clear_region,The following statement contains a magic number: var initialConfiguration = new FileConfiguration             {                 GlobalConfiguration = new FileGlobalConfiguration                 {                 }'                 Routes = new List<FileRoute>()                 {                     new FileRoute()                     {                         DownstreamHostAndPorts = new List<FileHostAndPort>                         {                             new FileHostAndPort                             {                                 Host = "localhost"'                                 Port = 80'                             }'                         }'                         DownstreamScheme = "https"'                         DownstreamPathTemplate = "/"'                         UpstreamHttpMethod = new List<string> { "get" }'                         UpstreamPathTemplate = "/"'                         FileCacheOptions = new FileCacheOptions                         {                             TtlSeconds = 10'                         }'                     }'                     new FileRoute()                     {                         DownstreamHostAndPorts = new List<FileHostAndPort>                         {                             new FileHostAndPort                             {                                 Host = "localhost"'                                 Port = 80'                             }'                         }'                         DownstreamScheme = "https"'                         DownstreamPathTemplate = "/"'                         UpstreamHttpMethod = new List<string> { "get" }'                         UpstreamPathTemplate = "/test"'                         FileCacheOptions = new FileCacheOptions                         {                             TtlSeconds = 10'                         }'                     }'                 }'             };
Magic Number,Ocelot.IntegrationTests,AdministrationTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\AdministrationTests.cs,should_clear_region,The following statement contains a magic number: var initialConfiguration = new FileConfiguration             {                 GlobalConfiguration = new FileGlobalConfiguration                 {                 }'                 Routes = new List<FileRoute>()                 {                     new FileRoute()                     {                         DownstreamHostAndPorts = new List<FileHostAndPort>                         {                             new FileHostAndPort                             {                                 Host = "localhost"'                                 Port = 80'                             }'                         }'                         DownstreamScheme = "https"'                         DownstreamPathTemplate = "/"'                         UpstreamHttpMethod = new List<string> { "get" }'                         UpstreamPathTemplate = "/"'                         FileCacheOptions = new FileCacheOptions                         {                             TtlSeconds = 10'                         }'                     }'                     new FileRoute()                     {                         DownstreamHostAndPorts = new List<FileHostAndPort>                         {                             new FileHostAndPort                             {                                 Host = "localhost"'                                 Port = 80'                             }'                         }'                         DownstreamScheme = "https"'                         DownstreamPathTemplate = "/"'                         UpstreamHttpMethod = new List<string> { "get" }'                         UpstreamPathTemplate = "/test"'                         FileCacheOptions = new FileCacheOptions                         {                             TtlSeconds = 10'                         }'                     }'                 }'             };
Magic Number,Ocelot.IntegrationTests,AdministrationTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\AdministrationTests.cs,should_clear_region,The following statement contains a magic number: var initialConfiguration = new FileConfiguration             {                 GlobalConfiguration = new FileGlobalConfiguration                 {                 }'                 Routes = new List<FileRoute>()                 {                     new FileRoute()                     {                         DownstreamHostAndPorts = new List<FileHostAndPort>                         {                             new FileHostAndPort                             {                                 Host = "localhost"'                                 Port = 80'                             }'                         }'                         DownstreamScheme = "https"'                         DownstreamPathTemplate = "/"'                         UpstreamHttpMethod = new List<string> { "get" }'                         UpstreamPathTemplate = "/"'                         FileCacheOptions = new FileCacheOptions                         {                             TtlSeconds = 10'                         }'                     }'                     new FileRoute()                     {                         DownstreamHostAndPorts = new List<FileHostAndPort>                         {                             new FileHostAndPort                             {                                 Host = "localhost"'                                 Port = 80'                             }'                         }'                         DownstreamScheme = "https"'                         DownstreamPathTemplate = "/"'                         UpstreamHttpMethod = new List<string> { "get" }'                         UpstreamPathTemplate = "/test"'                         FileCacheOptions = new FileCacheOptions                         {                             TtlSeconds = 10'                         }'                     }'                 }'             };
Magic Number,Ocelot.IntegrationTests,AdministrationTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\AdministrationTests.cs,should_clear_region,The following statement contains a magic number: var initialConfiguration = new FileConfiguration             {                 GlobalConfiguration = new FileGlobalConfiguration                 {                 }'                 Routes = new List<FileRoute>()                 {                     new FileRoute()                     {                         DownstreamHostAndPorts = new List<FileHostAndPort>                         {                             new FileHostAndPort                             {                                 Host = "localhost"'                                 Port = 80'                             }'                         }'                         DownstreamScheme = "https"'                         DownstreamPathTemplate = "/"'                         UpstreamHttpMethod = new List<string> { "get" }'                         UpstreamPathTemplate = "/"'                         FileCacheOptions = new FileCacheOptions                         {                             TtlSeconds = 10'                         }'                     }'                     new FileRoute()                     {                         DownstreamHostAndPorts = new List<FileHostAndPort>                         {                             new FileHostAndPort                             {                                 Host = "localhost"'                                 Port = 80'                             }'                         }'                         DownstreamScheme = "https"'                         DownstreamPathTemplate = "/"'                         UpstreamHttpMethod = new List<string> { "get" }'                         UpstreamPathTemplate = "/test"'                         FileCacheOptions = new FileCacheOptions                         {                             TtlSeconds = 10'                         }'                     }'                 }'             };
Magic Number,Ocelot.IntegrationTests,AdministrationTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\AdministrationTests.cs,GivenThereIsAFooServiceRunningOn,The following statement contains a magic number: _fooServiceBuilder = Host.CreateDefaultBuilder()                 .ConfigureWebHost(webBuilder =>                 {                     webBuilder.UseUrls(baseUrl)                     .UseKestrel()                     .UseContentRoot(Directory.GetCurrentDirectory())                     .UseIISIntegration()                     .Configure(app =>                     {                         app.UsePathBase("/foo");                         app.Run(async context =>                         {                             context.Response.StatusCode = 200;                             await context.Response.WriteAsync("foo");                         });                     });                 }).Build();
Magic Number,Ocelot.IntegrationTests,AdministrationTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\AdministrationTests.cs,GivenThereIsABarServiceRunningOn,The following statement contains a magic number: _barServiceBuilder = Host.CreateDefaultBuilder()                 .ConfigureWebHost(webBuilder =>                 {                     webBuilder.UseUrls(baseUrl)                     .UseKestrel()                     .UseContentRoot(Directory.GetCurrentDirectory())                     .UseIISIntegration()                     .Configure(app =>                     {                         app.UsePathBase("/bar");                         app.Run(async context =>                         {                             context.Response.StatusCode = 200;                             await context.Response.WriteAsync("bar");                         });                     });                 }).Build();
