Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Ocelot.Provider.Eureka,Eureka,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot.Provider.Eureka\Eureka.cs,Get,The length of the statement  "                services.AddRange(instances.Select(i => new Service(i.ServiceId' new ServiceHostAndPort(i.Host' i.Port' i.Uri.Scheme)' ""' ""' new List<string>()))); " is 149.
Long Statement,Ocelot.Provider.Eureka,EurekaMiddlewareConfigurationProvider,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot.Provider.Eureka\EurekaMiddlewareConfigurationProvider.cs,UsingEurekaServiceDiscoveryProvider,The length of the statement  "            return configuration?.ServiceProviderConfiguration != null && configuration.ServiceProviderConfiguration.Type?.ToLower() == "eureka";" is 133.
