Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Ocelot.Provider.Kubernetes,KubernetesServiceDiscoveryProvider,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot.Provider.Kubernetes\KubeProvider.cs,Get,The length of the statement  "                _logger.LogWarning($"namespace:{_kubeRegistryConfiguration.KubeNamespace }service:{_kubeRegistryConfiguration.KeyOfServiceInK8s} Unable to use 'it is invalid. Address must contain host only e.g. localhost and port must be greater than 0");" is 239.
Long Statement,Ocelot.Provider.Kubernetes,KubernetesProviderFactory,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot.Provider.Kubernetes\KubernetesProviderFactory.cs,GetKubeProvider,The length of the statement  "            var k8sServiceDiscoveryProvider = new KubernetesServiceDiscoveryProvider(k8sRegistryConfiguration' factory' kubeClient); " is 120.
