Testability smell,Namespace,Class,File,Cause
Global State,Services.Orders.Data,SeedData,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\dotnet-istanbul-microservices-demo-master\dotnet-istanbul-microservices-demo-master\DotnetIst.Services.Orders\src\Services.Orders\Data\SeedData.cs,The tool detected the smell in this class because the class can be accessed as a `global` state.
Excessive Dependency,Services.Orders.Handlers,CreateOrderHandler,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\dotnet-istanbul-microservices-demo-master\dotnet-istanbul-microservices-demo-master\DotnetIst.Services.Orders\src\Services.Orders\Handlers\CreateOrderHandler.cs,The tool detected the smell in this class because the class depends on too many dependencies. The dependencies are: Shared.MessageHandlers.ICommandHandler' Shared.RabbitMq.IBusPublisher' Shared.RabbitMq.ICorrelationContext' Services.Orders.Commands.CreateOrder' Services.Orders.Data.Order' Services.Orders.Data.OrderItem' Services.Orders.Data.OrderStatus' Services.Customers.Data.OrderDBContext' Services.Orders.Events.OrderCreated' Services.Orders.HttpServices.ICustomerHttpService
Excessive Dependency,Services.Orders,Startup,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\dotnet-istanbul-microservices-demo-master\dotnet-istanbul-microservices-demo-master\DotnetIst.Services.Orders\src\Services.Orders\Startup.cs,The tool detected the smell in this class because the class depends on too many dependencies. The dependencies are: Shared.Models.HttpServiceOptions' Services.Orders.Commands.CreateOrder' Services.Orders.Data.SeedData' Services.Customers.Data.OrderDBContext' Services.Orders.Events.ProductsReserved' Services.Orders.Events.ProductsReserveFailed' Services.Orders.HttpServices.CustomerHttpService' Services.Orders.HttpServices.ICustomerHttpService
