Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Services.Notifications.Handlers,OrderCompletedHandler,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\dotnet-istanbul-microservices-demo-master\dotnet-istanbul-microservices-demo-master\DotnetIst.Services.Notifications\src\Services.Notifications\Handlers\OrderCompletedHandler.cs,HandleAsync,The length of the statement  "            _logger.LogInformation($"[Local Transaction] : Notification sent for Created Order. CorrelationId: {context.CorrelationId}");" is 125.
Long Statement,Services.Notifications.Handlers,OrderFailedHandler,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\dotnet-istanbul-microservices-demo-master\dotnet-istanbul-microservices-demo-master\DotnetIst.Services.Notifications\src\Services.Notifications\Handlers\OrderFailedHandler.cs,HandleAsync,The length of the statement  "            _logger.LogInformation($"[Local Transaction] : Notification sent for Failed Order. CorrelationId: {context.CorrelationId}");" is 124.
