Testability smell,Namespace,Class,File,Cause
Global State,Services.Customers.Data,SeedData,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\dotnet-istanbul-microservices-demo-master\dotnet-istanbul-microservices-demo-master\DotnetIst.Services.Customers\src\Services.Customers\Data\SeedData.cs,The tool detected the smell in this class because the class can be accessed as a `global` state.
Excessive Dependency,Services.Customers,Startup,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\dotnet-istanbul-microservices-demo-master\dotnet-istanbul-microservices-demo-master\DotnetIst.Services.Customers\src\Services.Customers\Startup.cs,The tool detected the smell in this class because the class depends on too many dependencies. The dependencies are: Shared.Models.HttpServiceOptions' Services.Customers.Commands.AddProductToBasket' Services.Customers.Commands.CreateCustomer' Services.Customers.Data.CustomerDBContext' Services.Customers.Data.SeedData' Services.Customers.Events.OrderCompleted' Services.Customers.HttpServices.IProductHttpService' Services.Customers.HttpServices.ProductHttpService
