Architecture smell,Project,Namespace,Cause,Responsible Classes,Participating Classes
Cyclic Dependency,Services.Products,Services.Products.Data,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Services.Products.Data' Services.Customers.Data,Services.Products.Data.Product' Services.Products.Data.SeedData' Services.Customers.Data.ProductDBContext,Services.Products.Data.Product' Services.Products.Data.SeedData' Services.Customers.Data.ProductDBContext
Unstable Dependency,Services.Products,Services.Customers.Data,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Services.Products.Data,Services.Customers.Data.Product,Services.Customers.Data.Product
