Testability smell,Namespace,Class,File,Cause
Hard-wired Dependency,Shipments.Controllers,ShipmentsController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\Shipments\Controllers\ShipmentsController.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Shipments.Repositories.IShipmentRepository
Excessive Dependency,Shipments,Startup,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\Shipments\Startup.cs,The tool detected the smell in this class because the class depends on too many dependencies. The dependencies are: WebApiHelpers.Formatters.ProtobufInputFormatter' WebApiHelpers.Formatters.ProtobufOutputFormatter' Shipments.Contexts.ShipmentsDbContext' Shipments.Entities.Shipment' Shipments.Repositories.IShipmentRepository' Shipments.Repositories.ShipmentRepository' ShipmentsDtoTypes.Models.ShipmentDto' ShipmentsDtoTypes.Models.ShipmentToCreateDto
