Project,Namespace,Ca types,Ce types
Customers,Customers.Contexts,Customers.Repositories.CustomerRepository' Customers.Startup,Customers.Entities.Customer
Customers,Customers.Controllers,,Customers.Entities.Customer' Customers.Repositories.ICustomerRepository' CustomerDtoTypes.Helpers.CustomersPagedResult' CustomersDtoTypes.Helpers.CustomersPagingParameters' CustomersDtoTypes.Models.CustomerDto' CustomersDtoTypes.Models.CustomerToCreateDto' CustomersDtoTypes.Models.CustomerToUpdateDto' WebApiHelpers.ObjectResults.UnprocessableEntityObjectResult
Customers,Customers.Entities,Customers.Contexts.CustomersDbContext' Customers.Controllers.CustomersController' Customers.Startup' Customers.Repositories.ICustomerRepository' Customers.Repositories.CustomerRepository' Customers.Contexts.CustomersDbSeeder,
Customers,Customers,,Customers.Contexts.CustomersDbContext' Customers.Contexts.CustomersDbSeeder' Customers.Entities.Customer' Customers.Repositories.CustomerRepository' Customers.Repositories.ICustomerRepository' CustomersDtoTypes.Models.CustomerDto' CustomersDtoTypes.Models.CustomerToCreateDto' CustomersDtoTypes.Models.CustomerToUpdateDto' WebApiHelpers.Formatters.ProtobufInputFormatter' WebApiHelpers.Formatters.ProtobufOutputFormatter
Customers,Customers.Repositories,Customers.Startup' Customers.Controllers.CustomersController,Customers.Contexts.CustomersDbContext' Customers.Entities.Customer' CustomersDtoTypes.Helpers.CustomersPagingParameters
