Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Orders,Startup,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\Orders\Startup.cs,RegisterEventBus,The length of the statement  "                return new RabbitMQEventBus(rabbitMQPersistentConnection' eventBusSubcriptionsManager' iLifetimeScope' logger' "orders");" is 121.
Magic Number,Orders.Contexts,OrdersDbContextSeeder,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\Orders\Contexts\OrdersDbContextSeeder.cs,SeedInMemoryDatabase,The following statement contains a magic number: List<Order> orders = new List<Order>()             {                 new Order {DatePlaced = DateTime.Now' CustomerId=1}'                 new Order {DatePlaced = DateTime.Now' CustomerId=1}'                 new Order {DatePlaced = DateTime.Now' CustomerId=1}'                 new Order {DatePlaced = DateTime.Now' CustomerId=2}'                 new Order {DatePlaced = DateTime.Now' CustomerId=3}'                 new Order {DatePlaced = DateTime.Now' CustomerId=3}'             };
Magic Number,Orders.Contexts,OrdersDbContextSeeder,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\Orders\Contexts\OrdersDbContextSeeder.cs,SeedInMemoryDatabase,The following statement contains a magic number: List<Order> orders = new List<Order>()             {                 new Order {DatePlaced = DateTime.Now' CustomerId=1}'                 new Order {DatePlaced = DateTime.Now' CustomerId=1}'                 new Order {DatePlaced = DateTime.Now' CustomerId=1}'                 new Order {DatePlaced = DateTime.Now' CustomerId=2}'                 new Order {DatePlaced = DateTime.Now' CustomerId=3}'                 new Order {DatePlaced = DateTime.Now' CustomerId=3}'             };
Magic Number,Orders.Contexts,OrdersDbContextSeeder,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\Orders\Contexts\OrdersDbContextSeeder.cs,SeedInMemoryDatabase,The following statement contains a magic number: List<Order> orders = new List<Order>()             {                 new Order {DatePlaced = DateTime.Now' CustomerId=1}'                 new Order {DatePlaced = DateTime.Now' CustomerId=1}'                 new Order {DatePlaced = DateTime.Now' CustomerId=1}'                 new Order {DatePlaced = DateTime.Now' CustomerId=2}'                 new Order {DatePlaced = DateTime.Now' CustomerId=3}'                 new Order {DatePlaced = DateTime.Now' CustomerId=3}'             };
Magic Number,Orders,Startup,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\Orders\Startup.cs,Configure,The following statement contains a magic number: app.UseExceptionHandler(appBuilder =>             {                 appBuilder.Run(async context =>                 {                     context.Response.StatusCode = 500;                     await context.Response.WriteAsync("A server error occured.");                 });             });
