Implementation smell,Namespace,Class,File,Method,Description
Long Statement,API_Gateway.Controllers,CustomersController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\API_Gateway\Controllers\CustomersController.cs,CreateCustomer,The length of the statement  "            //basically dont wanna have to worry about deserializing 2 possible types of response object' so just gonna do the validation here" is 130.
Long Statement,API_Gateway.Controllers,CustomersController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\API_Gateway\Controllers\CustomersController.cs,UpdateCustomer,The length of the statement  "            //basically dont wanna have to worry about deserializing 2 possible types of response object' so just gonna do the validation here" is 130.
Long Statement,API_Gateway.Controllers,OrdersController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\API_Gateway\Controllers\OrdersController.cs,CreateOrder,The length of the statement  "            //basically dont wanna have to worry about deserializing 2 possible types of response object' so just gonna do the validation here" is 130.
Long Statement,API_Gateway.Controllers,OrdersController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\API_Gateway\Controllers\OrdersController.cs,UpdateOrder,The length of the statement  "            //basically dont wanna have to worry about deserializing 2 possible types of response object' so just gonna do the validation here" is 130.
Long Statement,API_Gateway.Controllers,ShipmentsController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\API_Gateway\Controllers\ShipmentsController.cs,CreateShipment,The length of the statement  "            //basically dont wanna have to worry about deserializing 2 possible types of response object' so just gonna do the validation here" is 130.
Long Statement,API_Gateway.Controllers,ShipmentsController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\EnterprisePlanner-master\EnterprisePlanner-master\API_Gateway\Controllers\ShipmentsController.cs,UpdateShipment,The length of the statement  "//            //basically dont wanna have to worry about deserializing 2 possible types of response object' so just gonna do the validation here" is 144.
