Implementation smell,Namespace,Class,File,Method,Description
Long Statement,WeText.Services.Common,MicroserviceRegister<TService>,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\Services\WeText.Services.Common\MicroserviceRegister.cs,RegisterLocalCommandConsumer,The length of the statement  "                throw new ServiceRegistrationException("Either of the settings for Command Queue is empty (HostName' ExchangeName or QueueName)."); " is 131.
Long Statement,WeText.Services.Common,MicroserviceRegister<TService>,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\Services\WeText.Services.Common\MicroserviceRegister.cs,RegisterLocalCommandConsumer,The length of the statement  "                if (context.TryResolveNamed($"{ThisConfiguration.Type}.CommandHandlers"' typeof(IEnumerable<ICommandHandler>)' out result)) " is 123.
Long Statement,WeText.Services.Common,MicroserviceRegister<TService>,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\Services\WeText.Services.Common\MicroserviceRegister.cs,RegisterLocalEventConsumer,The length of the statement  "                throw new ServiceRegistrationException("Either of the settings for Command Queue is empty (HostName' ExchangeName or QueueName)."); " is 131.
Long Statement,WeText.Services.Common,MicroserviceRegister<TService>,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\Services\WeText.Services.Common\MicroserviceRegister.cs,RegisterLocalEventConsumer,The length of the statement  "                if (context.TryResolveNamed($"{ThisConfiguration.Type}.EventHandlers"' typeof(IEnumerable<IDomainEventHandler>)' out result)) " is 125.
