Testability smell,Namespace,Class,File,Cause
Excessive Dependency,WeText.Services.Social,SocialController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\Services\WeText.Services.Social\SocialController.cs,The tool detected the smell in this class because the class depends on too many dependencies. The dependencies are: WeText.Common.NamedMetadata' WeText.Common.Config.WeTextConfiguration' WeText.Common.Messaging.ICommandSender' WeText.Common.Querying.ITableDataGateway' WeText.Domain.Commands.AcceptInvitationCommand' WeText.Domain.Commands.RejectInvitationCommand' WeText.Domain.Commands.SendInvitationCommand' WeText.Services.Social.SocialService' WeText.Services.Social.Querying.NetworkTableObject' WeText.Services.Social.Querying.UserNameTableObject' WeText.Services.Common.MicroserviceApiController<TService>
Excessive Dependency,WeText.Services.Social,SocialCommandHandler,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\Services\WeText.Services.Social\SocialCommandHandler.cs,The tool detected the smell in this class because the class depends on too many dependencies. The dependencies are: WeText.Common.Commands.ICommandHandler' WeText.Common.Repositories.IDomainRepository' WeText.Domain.Commands.AcceptInvitationCommand' WeText.Domain.Commands.AddFriendCommand' WeText.Domain.Commands.RejectInvitationCommand' WeText.Domain.Commands.SendInvitationCommand' WeText.Domain.Invitation' WeText.Domain.User
Hard-wired Dependency,WeText.Services.Social,SocialEventHandler,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\Services\WeText.Services.Social\SocialEventHandler.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: WeText.Domain.Invitation
Excessive Dependency,WeText.Services.Social,SocialEventHandler,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\Services\WeText.Services.Social\SocialEventHandler.cs,The tool detected the smell in this class because the class depends on too many dependencies. The dependencies are: WeText.Common.Events.IDomainEventHandler' WeText.Common.Messaging.ICommandSender' WeText.Common.Querying.ITableDataGateway' WeText.Common.Querying.UpdateCriteria<TTableObject>' WeText.Common.Repositories.IDomainRepository' WeText.Common.Specifications.Specification<T>' WeText.Domain.Commands.AddFriendCommand' WeText.Domain.Events.InvitationApprovedEvent' WeText.Domain.Events.InvitationCompletedEvent' WeText.Domain.Events.InvitationRejectedEvent' WeText.Domain.Events.InvitationSentEvent' WeText.Domain.Events.UserDisplayNameChangedEvent' WeText.Domain.Events.UserCreatedEvent' WeText.Domain.Invitation' WeText.Services.Social.Querying.InvitationEndReason' WeText.Services.Social.Querying.NetworkTableObject' WeText.Services.Social.Querying.UserNameTableObject
Excessive Dependency,WeText.Services.Social,SocialServiceRegister,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\Services\WeText.Services.Social\SocialServiceRegister.cs,The tool detected the smell in this class because the class depends on too many dependencies. The dependencies are: WeText.Common.Commands.ICommandHandler' WeText.Common.Config.WeTextConfiguration' WeText.Common.Events.IDomainEventHandler' WeText.Common.Messaging.ICommandConsumer' WeText.Common.Messaging.IEventConsumer' WeText.Common.Querying.ITableDataGateway' WeText.Common.Repositories.IDomainRepository' WeText.Querying.MySqlClient.MySqlTableDataGateway' WeText.Services.Social.SocialCommandHandler' WeText.Services.Social.SocialEventHandler' WeText.Services.Social.SocialService' WeText.Services.Common.MicroserviceRegister<TService>' WeText.Services.Common.ServiceRegistrationException
