Implementation smell,Namespace,Class,File,Method,Description
Long Statement,WeText.Messaging.RabbitMq,RabbitMqMessageSubscriber,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Messaging.RabbitMq\RabbitMqMessageSubscriber.cs,Subscribe,The length of the statement  "                var message = JsonConvert.DeserializeObject(json' new JsonSerializerSettings { TypeNameHandling = TypeNameHandling.All }); " is 122.
Long Statement,WeText.Messaging.RabbitMq,RabbitMqMessagePublisher,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Messaging.RabbitMq\RabbitMqMessagePublisher.cs,Publish,The length of the statement  "            var json = JsonConvert.SerializeObject(message' Formatting.Indented' new JsonSerializerSettings { TypeNameHandling = TypeNameHandling.All }); " is 141.
