Implementation smell,Namespace,Class,File,Method,Description
Long Statement,ListenTogether.Application.Grains,RoomGrain,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\dotnet-podcasts-main\dotnet-podcasts-main\src\Services\ListenTogether\ListenTogether.Application\Grains\RoomGrain.cs,JoinRoom,The length of the statement  "            _logger.LogInformation($"User {userName} is joining {_room.State.Code}' listening to {_room.State.Episode.Show.Title}");" is 120.
Long Statement,ListenTogether.Application.Grains,RoomGrain,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\dotnet-podcasts-main\dotnet-podcasts-main\src\Services\ListenTogether\ListenTogether.Application\Grains\RoomGrain.cs,LeaveRoom,The length of the statement  "            _logger.LogInformation($"User {user.Name} is joining {_room.State.Code}' listening to {_room.State.Episode.Show.Title}");" is 121.
