Implementation smell,Namespace,Class,File,Method,Description
Long Method,ListenTogether.Hub.Infrastructure.Data.Migrations,InitialCreate,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\dotnet-podcasts-main\dotnet-podcasts-main\src\Services\ListenTogether\ListenTogether.Infrastructure\Data\Migrations\20211111150042_InitialCreate.cs,BuildTargetModel,The method has 154 lines of code.
Long Method,ListenTogether.Hub.Infrastructure.Data.Migrations,ListenTogetherDbContextModelSnapshot,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\dotnet-podcasts-main\dotnet-podcasts-main\src\Services\ListenTogether\ListenTogether.Infrastructure\Data\Migrations\ListenTogetherDbContextModelSnapshot.cs,BuildModel,The method has 154 lines of code.
Magic Number,ListenTogether.Hub.Infrastructure.Data.Migrations,InitialCreate,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\dotnet-podcasts-main\dotnet-podcasts-main\src\Services\ListenTogether\ListenTogether.Infrastructure\Data\Migrations\20211111150042_InitialCreate.cs,BuildTargetModel,The following statement contains a magic number: modelBuilder                 .HasAnnotation("ProductVersion"' "6.0.0")                 .HasAnnotation("Relational:MaxIdentifierLength"' 128);
Magic Number,ListenTogether.Hub.Infrastructure.Data.Migrations,ListenTogetherDbContextModelSnapshot,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\dotnet-podcasts-main\dotnet-podcasts-main\src\Services\ListenTogether\ListenTogether.Infrastructure\Data\Migrations\ListenTogetherDbContextModelSnapshot.cs,BuildModel,The following statement contains a magic number: modelBuilder                 .HasAnnotation("ProductVersion"' "6.0.0")                 .HasAnnotation("Relational:MaxIdentifierLength"' 128);
